,,,Portfolio Details of JB2200
,,,Portfolio Name Deepak101010

SECTOR,SCRIP SYMBOL,TOTAL QUANTITY,TRADE PRICE,PURCHASE VALUE,CURRENT MKT PRICE,PCT PRICE CHANGE,CURRENT MKT VALUE,BOOKED PNL,NOTIONAL PNL,NOTIONAL PNL PCT
Agriculture/Horticulture/Aquaculture/Lives/Food,VENKEYS,0,0,0,401,3.3,0,1.57,0,0
Auto/ Auto Ancillaries,MARUTI,0,0,0,1345.5,-.37,0,-60.88,0,0
Auto/ Auto Ancillaries,HINDMOTOR,0,0,0,10.15,4.64,0,6.9,0,0
Auto/ Auto Ancillaries,TATAMOTORS,0,0,0,277.1,.67,0,-96.58,0,0
Auto/ Auto Ancillaries,BAJAJ-AUTO,0,0,0,1639.7,-2.33,0,-43.07,0,0
Auto/ Auto Ancillaries,SHIVAMAUTO,0,0,0,123.65,0,0,231.16,0,0
Auto/ Auto Ancillaries,LML,0,0,0,8.05,2.55,0,3.49,0,0
Auto/ Auto Ancillaries,EXIDEIND,0,0,0,149,-.13,0,-15.12,0,0
Auto/ Auto Ancillaries,M&M,0,0,0,703.25,.44,0,-191.28,0,0
Banks,IOB,0,0,0,95.3,1.06,0,206.19,0,0
Banks,UNIONBANK,0,0,0,237.9,.89,0,1.6,0,0
Banks,CORPBANK,0,0,0,429,.99,0,-3.65,0,0
Banks,CANBK,0,0,0,476.2,.08,0,-30.58,0,0
Banks,BANKINDIA,0,0,0,369,1.75,0,-28.32,0,0
Banks,BANKBARODA,0,0,0,798,.23,0,26.72,0,0
Banks,AXISBANK,0,0,0,1146,-.02,0,10.94,0,0
Banks,ANDHRABANK,0,0,0,121,1.55,0,-11.15,0,0
Banks,KOTAKBANK,0,0,0,555.8,1.92,0,-153.74,0,0
Banks,UCOBANK,0,0,0,79.9,.95,0,8.81,0,0
Banks,ORIENTBANK,0,0,0,255.65,1.19,0,-1.6,0,0
Banks,INDIANB,0,0,0,238.4,-2.3,0,8.27,0,0
Banks,PNB,0,0,0,938.5,1.46,0,1.14,0,0
Banks,SBIN,0,0,0,2112.85,.79,0,153.3,0,0
Banks,IDBI,0,0,0,105.45,.72,0,-109.85,0,0
Banks,ICICIBANK,0,0,0,888,-.25,0,-588.15,0,0
Banks,FEDERALBNK,0,0,0,433.45,1.63,0,445.2,0,0
Banks,HDFCBANK,0,0,0,523.25,.65,0,34.81,0,0
Cement,ACC,0,0,0,1341.95,-1.29,0,-33.64,0,0
Cement,GUJSIDHCEM,0,0,0,9.35,11.31,0,-3.75,0,0
Cement,BINANICEM,0,0,0,90.5,0,0,2528.61,0,0
Cement,AMBUJACEM,0,0,0,169.2,-1.74,0,-16.09,0,0
Cement,EVERESTIND,0,0,0,127.5,.79,0,-79.51,0,0
Chemicals,TATACHEM,0,0,0,346,-.19,0,-139.42,0,0
Construction & Related,VASCONEQ,0,0,0,42,1.08,0,42.74,0,0
Consumer Durables,LLOYDELENG,0,0,0,43.4,-1.03,0,3.73,0,0
Consumer Durables,TITAN,0,0,0,244.15,6.83,0,-13.78,0,0
Consumer Durables,CREWBOS,0,0,0,28.9,-.17,0,-5.17,0,0
Consumer Durables,VIDEOIND,0,0,0,172.75,.79,0,-4.51,0,0
Electronics/ Electric Equipment,CROMPGREAV,0,0,0,142.7,3.33,0,-28.25,0,0
Electronics/ Electric Equipment,ABB,0,0,0,849.2,1.04,0,-4.65,0,0
Engineering,ABAN,0,0,0,438.35,1.25,0,133.11,0,0
Engineering,BHARATFORG,0,0,0,315.5,-1.42,0,-4.69,0,0
Engineering,SUZLON,0,0,0,25.75,1.98,0,-8.01,0,0
Fertilisers,RCF,0,0,0,57.85,2.48,0,.18,0,0
Finance- Non Banking,PFC,0,0,0,190,2.95,0,17.58,0,0
Finance- Non Banking,IFCI,0,0,0,42.3,.95,0,29.27,0,0
Finance- Non Banking,HDFC,0,0,0,679.7,.95,0,122.28,0,0
Finance- Non Banking,IDFC,0,0,0,134.9,-.07,0,-4.6,0,0
Finance- Non Banking,LICHSGFIN,0,0,0,265.65,.87,0,-15.01,0,0
Finance- Non Banking,RELIGARE,0,0,0,380.1,-.11,0,-115.89,0,0
Finance- Non Banking,RELCAPITAL,0,0,0,396.05,.93,0,2.97,0,0
Gems and Jewellery,GITANJALI,0,0,0,328.6,1.4,0,-427.68,0,0
Hospitality,EIHOTEL,0,0,0,85.4,-.18,0,-90.37,0,0
Hospitality,INDHOTEL,0,0,0,64.2,.78,0,-9.35,0,0
Information Technology,HCLTECH,0,0,0,482.35,-.19,0,-6.79,0,0
Information Technology,TCS,0,0,0,1186.5,1.51,0,29.35,0,0
Information Technology,PATNI,0,0,0,491,-.57,0,-619.49,0,0
Information Technology,POLARIS,0,0,0,165.8,.97,0,-171.52,0,0
Information Technology,MPHASIS,0,0,0,409,.96,0,3.92,0,0
Information Technology,INFY,0,0,0,2848.8,-.61,0,-184.02,0,0
Information Technology,OFSS,0,0,0,2630.95,.41,0,387.97,0,0
Information Technology,EDUCOMP,0,0,0,198.35,2.75,0,1.63,0,0
Infrastructure,ADANIPORTS,0,0,0,132.2,2.08,0,110.07,0,0
Infrastructure,GMRINFRA,0,0,0,31.25,.64,0,-.85,0,0
Infrastructure,JPASSOCIAT,0,0,0,82.5,.98,0,.47,0,0
Logistics & Packaging,ARSHIYA,0,0,0,142.1,-.63,0,101.96,0,0
Logistics & Packaging,SICAL,0,0,0,67.55,.07,0,25.75,0,0
Media & Entertainment,ZEEL,0,0,0,129.85,2.45,0,-105.88,0,0
Media & Entertainment,INOXLEISUR,0,0,0,52.3,2.45,0,-260.66,0,0
Metals and Minerals,VISASTEEL,0,0,0,57.15,.26,0,50.37,0,0
Metals and Minerals,TATASTEEL,0,0,0,472.35,.13,0,-362.61,0,0
Metals and Minerals,STER,0,0,0,109.55,-1.35,0,27.15,0,0
Metals and Minerals,JINDALSTEL,0,0,0,544.3,-.16,0,-4.14,0,0
Metals and Minerals,RESURGERE,-28,3.01,-84,.25,25,7,0,77.36,91.7
Metals and Minerals,HINDALCO,0,0,0,129.2,-.15,0,-51.75,0,0
Metals and Minerals,SAIL,0,0,0,96.35,2.23,0,7.5,0,0
Metals and Minerals,SESAGOA,0,0,0,192.65,-1.05,0,-14.28,0,0
Metals and Minerals,GUJNRECOKE,0,0,0,22.65,2.26,0,-4.49,0,0
Metals and Minerals,JSWSTEEL,0,0,0,727.45,.83,0,.9,0,0
Metals and Minerals,KALYANISTE,0,0,0,54,3.15,0,.32,0,0
Miscellaneous,SINTEX,0,0,0,87.45,1.39,0,12.85,0,0
Miscellaneous,VIPIND,0,0,0,101.1,1.25,0,28.64,0,0
Miscellaneous,VOLTAS,0,0,0,113.65,1.25,0,-43.88,0,0
