UNDERLYING                          ,SYMBOL    ,Apr-12,May-12,Jun-12,Sep-12,Dec-12,Mar-13,Jun-13,Dec-13,Jun-14,Dec-14,Jun-15,Dec-15,Jun-16,Dec-16,           
CNX BANK INDEX                      ,BANKNIFTY ,25,25,25,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           
CNX INFRASTRUCTURE INDEX            ,CNXINFRA  ,100,100,100,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           
CNX IT                              ,CNXIT     ,50,50,50,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           
CNX PSE INDEX                       ,CNXPSE    ,75,75,75,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           
DOW JONES INDUSTRIAL AVG            ,DJIA      ,25,25,25,25,25,25,           ,           ,           ,           ,           ,           ,           ,           ,           
S&P CNX NIFTY                       ,MINIFTY   ,20,20,20,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           
NIFTY MIDCAP 50                     ,NFTYMCAP50,150,150,150,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           
S&P CNX NIFTY                       ,NIFTY     ,50,50,50,50,50,50,50,50,50,50,50,50,50,50,           
S&P 500                             ,S&P500    ,250,250,250,250,250,250,           ,           ,           ,           ,           ,           ,           ,           ,           
Derivatives on Individual Securities,Symbol    ,Apr-12,May-12,Jun-12,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           
ABAN OFFSHORE LTD.                  ,ABAN      ,1000,1000,1000,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           
ABB LTD.                            ,ABB       ,250,250,250,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           
ABG SHIPYARD LTD                    ,ABGSHIP   ,1000,1000,1000,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           
ADITYA BIRLA NUVO LIMITED           ,ABIRLANUVO,250,250,250,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           
ACC LIMITED                         ,ACC       ,250,250,250,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           
ADANI ENTERPRISES LIMITED           ,ADANIENT  ,500,500,500,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           
ADANI PORT & SEZ LTD                ,ADANIPORTS,2000,2000,2000,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           
ADANI POWER LTD                     ,ADANIPOWER,4000,4000,4000,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           
ALLAHABAD BANK                      ,ALBK      ,2000,2000,2000,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           
ALOK INDUSTRIES LTD                 ,ALOKTEXT  ,11000,11000,11000,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           
ALSTOM T&D INDIA LIMITED            ,ALSTOMT&D ,1000,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           
AMBUJA CEMENTS LTD                  ,AMBUJACEM ,2000,2000,2000,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           
ANDHRA BANK                         ,ANDHRABANK,2000,2000,2000,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           
ALSTOM PROJECTS INDIA LTD           ,APIL      ,500,500,500,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           
APOLLO TYRES LTD                    ,APOLLOTYRE,4000,4000,4000,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           
ARVIND LIMITED                      ,ARVIND    ,4000,4000,4000,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           
ASHOK LEYLAND LTD                   ,ASHOKLEY  ,8000,8000,8000,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           
ASIAN PAINTS LIMITED                ,ASIANPAINT,125,125,125,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           
AUROBINDO PHARMA LTD                ,AUROPHARMA,2000,2000,2000,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           
AXIS BANK LIMITED                   ,AXISBANK  ,250,250,250,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           
BAJAJ AUTO LIMITED                  ,BAJAJ-AUTO,250,250,250,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           
BAJAJ HINDUSTAN LTD                 ,BAJAJHIND ,8000,8000,8000,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           
BAJAJ HOLDINGS & INVS LTD           ,BAJAJHLDNG,500,500,500,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           
BALRAMPUR CHINI MILLS LTD           ,BALRAMCHIN,4000,4000,4000,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           
BANK OF BARODA                      ,BANKBARODA,500,500,500,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           
BANK OF INDIA                       ,BANKINDIA ,1000,1000,1000,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           
BATA INDIA LTD                      ,BATAINDIA ,500,500,500,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           
BHARAT ELECTRONICS LTD              ,BEL       ,250,250,250,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           
BEML LIMITED                        ,BEML      ,500,500,500,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           
BF UTILITIES LIMITED                ,BFUTILITIE,500,500,500,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           
BGR ENERGY SYSTEMS LTD              ,BGRENERGY ,1000,1000,1000,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           
BHARAT FORGE LTD                    ,BHARATFORG,1000,1000,1000,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           
BHARTI AIRTEL LIMITED               ,BHARTIARTL,1000,1000,1000,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           
BHEL                                ,BHEL      ,1000,1000,1000,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           
BHUSHAN STEEL LIMITED               ,BHUSANSTL ,1000,1000,1000,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           
BIOCON LIMITED.                     ,BIOCON    ,1000,1000,1000,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           
BOMBAY DYEING & MFG. CO L           ,BOMDYEING ,1000,1000,1000,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           
BOSCH LIMITED                       ,BOSCHLTD  ,125,125,125,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           
BHARAT PETROLEUM CORP  LT           ,BPCL      ,500,500,500,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           
BOMBAY RAYON FASHIONS LTD           ,BRFL      ,1000,1000,1000,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           
